Word,alternate-spellings,transliteration,Gloss,Strongs
ἁλιεύω,,alieuō,fish,232
ἁλίζω,,alizō,"salt, sprinkle with salt",233
"ἀλίσγημα, -τος, τό",,alisgēma,"pollution, defilement",234
ἀλλά,ἀλλ᾽,alla,"but, except",235
ἀλλάσσω,,allassō,"change, alter",236
ἀλλαχόθεν,,allachothen,"at another place, by another way, from another quarter",237
ἀλλαχοῦ,,allachou,elsewhere,
ἀλληγορέω,,allēgoreō,speak allegorically,238
ἁλληλουϊά,,allēlouia,"hallelujah, praise Yahweh, praise the Lord",239
ἀλλήλων,,allēlōn,"one another, each another",240
"ἀλλογενής, -η, -ο",,allogenēs,"foreigner, stranger",241
ἅλλομαι,,allomai,"leap, spring up, bubble up",242
"ἄλλος, -η, -ο",,allos,"other, another, different",243
"ἀλλοτριοεπίσκοπος, -ου, ὁ",,allotrioepiskopos,"busybody, meddler in another's affairs",244
"ἀλλότριος, -α, -ον",,allotrios,"strange, foreign, alien, belonging to another",245
"ἀλλόφυλος, -ον",,allophulos,"alien, foreign",246
ἄλλως,,allōs,otherwise,247
ἀλοάω,,aloaō,thresh,248
"ἄλογος, -ον",,alogos,"without reason, absurd, unreasonable, senseless",249
"ἀλόη, -ης, ἡ",,aloē,aloes,250
"ἅλς, ὁ",,als,salt,251
"ἁλυκός, -ή, -όν",,alukos,"salty, saltine, bitter",252
ἄλυπος,,alupos,"without pain, free from sorry or anxiety",253
"ἅλυσις, -εως, ἡ",,alusis,chain,254
ἀλυσιτελής,,alusitelēs,"unprofitable, profitless",255
"ἄλφα, τό",,alpha,"Alpha, first letter of the Greek alphabet",1
"Ἁλφαῖος, -ου, ὁ",,Alphaios,Alphaeus,256
"ἅλων, -ος, ἡ",,alōn,"threshing floor, smooth flattened area for grinding grain",257
"ἀλώπηξ, -εκος, ἡ",,alōpēx,fox,258
"ἅλωσις, -εως, ἡ",,alōsis,"capture, taking, capturing",259
ἅμα,,ama,"at the same time, together with {+dative}, along with",260
ἀμαθής,,amathēs,"ignorant, unlearned",261
"ἅμαξα, -ας, ἡ",,amaxa,"wagon, wheeled vehicle",
"ἀμαράντινος, -η, -ον",,amarantinos,"unfading, fadeless",262
"ἀμάραντος, -ον",,amarantos,"unfading, permanent",263
ἁμαρτάνω,,amartanō,sin,264
"ἁμάρτημα, -τος, τό",,amartēma,"sin, fault, evil deed",265
"ἁμαρτία, -ας, ἡ",,amartia,sin,266
"ἀμάρτυρος, -ον",,amarturos,"without witness, untestified to",267
"ἁμαρτωλός, -ου, ὁ",,amartōlos,sinner,268
"ἄμαχος, -ον",,amachos,"uncontentious, peaceable, not quarrelsome",269
ἀμάω,,amaō,"harvest, collect, reap",270
"ἀμέθυστος, ἡ",,amethustos,amethyst,271
ἀμέλγω,,amelgō,"milk (an animal), soak up (moisture), soak up (sun)",
ἀμελέω,,ameleō,"neglect, be unconcerned",272
"ἄμεμπτος, -ον",,amemptos,blameless,273
ἀμέμπτως,,amemptōs,blamelessly,274
"ἀμέριμνος, -ον",,amerimnos,"free from care, free from anxiety",275
"ἀμετάθετος, -ον",,ametathetos,"unchangeable, unchanged",276
"ἀμετακίνητος, -ον",,ametakinētos,"immovable, firm",277
"ἀμεταμέλητος, -ον",,ametamelētos,"without regret, not to be repented of",278
"ἀμετανόητος, -ον",,ametanoētos,unrepentant,279
"ἄμετρος, -ον",,ametros,"immeasurable, not measurable",280
ἀμήν,,amēn,"truly, amen, verily, so let it be",281
ἀμήτωρ,,amētōr,"without a mother, whose mother's name is not recorded or known",282
"ἀμίαντος, -ον",,amiantos,"undefiled, untainted",283
"Ἀμιναδάβ, ὁ",,Aminadab,Amminadab,284
"ἄμμος, -ου, ἡ",,ammos,sand,285
"ἀμνός, -οῦ, ὁ",,amnos,lamb,286
"ἀμοιβή, -ῆς, ἡ",,amoibē,"return, recompense, change, exchange",287
"ἄμπελος, -ου, ἡ",,ampelos,vine,288
