Word,alternate-spellings,transliteration,Gloss,Strongs
"ταλαντιαῖος, -α, -ον",,talantiaios,"weighing a talent, talent in weight",5006
"τάλαντον, -ου, τό",,talanton,"talent, talent of silver or gold",5007
ταλιθά,,talitha,little girl,5008
"ταμεῖον, -ου, τό",,tameion,"inner room, storeroom, secret chamber",5009
"τάξις, -εως, ἡ",,taxis,"arranging, order, position, rank",5010
"ταπεινός, -ή, -όν",,tapeinos,"humble, downcast, lowly",5011
"ταπεινοφροσύνη, -ης, ἡ",,tapeinophrosunē,"lowliness of mind, humility",5012
ταπεινόφρων,,tapeinophrōn,humble,
ταπεινόω,,tapeinoō,"humble, humiliate",5013
"ταπείνωσις, -εως, ἡ",,tapeinōsis,"humiliation, humble state, abasement, low condition",5014
ταράσσω,,tarassō,"trouble, agitate, stir up",5015
"ταραχή, ἡ",,tarachē,"disturbance, tumult, sedition",5016
"τάραχος, -ου, ὁ",,tarachos,"disturbance, commotion",5017
"Ταρσεύς, -έως, ὁ",,Tarseus,"Tarsian, belonging to Tarsus",5018
"Ταρσός, -οῦ, ἡ",,Tarsos,Tarsus,5019
ταρταρόω,,tartaroō,"cast into Tartarus, cast into hell, thrust down to Tartarus",5020
τάσσω,,tassō,"arrange, appoint, order, assign",5021
"ταῦρος, -ου, ὁ",,tauros,"bull, ox",5022
"ταφή, -ῆς, ἡ",,taphē,"burial, burial place",5027
"τάφος, -ου, ὁ",,taphos,"grave, tomb, burial place",5028
τάχα,,tacha,"perhaps, possibly, quickly",5029
ταχέως,,tacheōs,"quickly, soon, hastily",5030
"ταχινός, -ή, -όν",,tachinos,"imminent, swift, quick",5031
τάχιον,,tachion,more swiftly,5032
τάχιστα,,tachista,most swiftly,5033
"τάχος, -ους, τό",,tachos,"speed, quickness",5034
ταχύ,,tachu,"quickly, speedily, swiftly",5035
ταχύς,,tachus,"quickly, quick, swift",5036
τέ,,te,"and, both",5037
"τεῖχος, -ους, τό",,teichos,"wall, city wall",5038
"τεκμήριον, -ου, τό",,tekmērion,"proof, sign, certain proof",5039
"τεκνίον, -ου, τό",,teknion,little child,5040
τεκνογονέω,,teknogoneō,"bear or beget children, bear children",5041
"τεκνογονία, -ας, ἡ",,teknogonia,"bearing of children, child bearing",5042
"τέκνον, -ου, τό",,teknon,"child, descendant",5043
τεκνοτροφέω,,teknotropheō,bring up children,5044
"τέκτων, -ονος, ὁ",,tektōn,"builder, carpenter",5045
"τέλειος, -α, -ον",,teleios,"complete, perfect, mature, full grown",5046
"τελειότης, -ητος, ἡ",,teleiotēs,"perfection, completeness, maturity, perfectness",5047
τελειόω,,teleioō,"fill, fulfill, make perfect, complete, accomplish",5048
τελείως,,teleiōs,"fully, completely, perfectly",5049
"τελείωσις, -εως, ἡ",,teleiōsis,"perfection, fulfillment, completion",5050
"τελειωτής, -οῦ, ὁ",,teleiōtēs,"perfecter, completer",5051
τελεσφορέω,,telesphoreō,"produce mature fruit, bring fruit to maturity, bring to maturity",5052
τελευτάω,,teleutaō,"die, end, finish",5053
"τελευτή, -ῆς, ἡ",,teleutē,"end, death, end of life",5054
τελέω,,teleō,"finish, fulfill, end, accomplish, pay",5055
"τέλος, -ους, τό",,telos,"end, purpose, tax",5056
"τελώνης, -ου, ὁ",,telōnēs,"tax collector, collector of taxes",5057
"τελώνιον, -ου, τό",,telōnion,"tax office, tax collector's office",5058
"τέρας, -ατος, τό",,teras,"wonder, portent",5059
"Τέρτιος, -ου, ὁ",,Tertios,Tertius,5060
"Τέρτυλλος, -ου, ὁ",,Tertullos,Tertullus,5061
τεσσαράκοντα,τεσσεράκοντα,tessarakonta,"forty, 40",5062
τεσσαρακονταετής,,tessarakontaetēs,forty years of age,5063
τέσσαρες,,tessares,"four, 4",5064
"τεσσαρεσκαιδέκατος, -η, -ον",,tessareskaidekatos,fourteenth,5065
τεσσερακονταετής,,tesserakontaetēs,forty years,
"τεταρταῖος, -α, -ον",,tetartaios,"happening on the fourth day, four days since",5066
"τέταρτος, -η, -ον",,tetartos,fourth,5067
τετρααρχέω,,tetraarcheō,"tetrarch, rule",
"τετραάρχης, -ου, ὁ",,tetraarchēs,"tetrarch, ruler (lower than king)",
"τετράγωνος, -ον",,tetragōnos,"four cornered, rectangle, square",5068
"τετράδιον, -ου, τό",,tetradion,"squad of four soldiers, group of four soldiers",5069
"τετρακισχίλιοι, -αι, -α",,tetrakischilioi,"four thousand, 4000",5070
"τετρακόσιοι, -αι, -α",,tetrakosioi,"four hundred, 400",5071
"τετράμηνος, -ου, ἡ",,tetramēnos,"lasting four months, of four months",5072
"τετραπλοῦς, -ῆ, -οῦν",,tetraplous,"four times, fourfold",5073
τετράπους,,tetrapous,"four-footed animal, four-footed",5074
τετραρχέω,,tetrarcheō,rule over as a tetrarch,5075
"τετράρχης, -ου, ὁ",,tetrarchēs,tetrarch,5076
τεφρόω,,tephroō,reduce to ashes,5077
"τέχνη, -ης, ἡ",,technē,"art, craft, trade, skill",5078
"τεχνίτης, -ου, ὁ",,technitēs,"craftsman, artisan, designer",5079
τήκομαι,,tēkomai,"melt, dissolve",
τήκω,,tēkō,"make liquid, melt",5080
τηλαυγῶς,,tēlaugōs,"plainly, clearly, distinctly",5081
"τηλικοῦτος, -αύτη, -οῦτο",,tēlikoutos,"so great, so large",5082
τηρέω,,tēreō,"keep, guard, observe",5083
"τήρησις, -εως, ἡ",,tērēsis,"imprisonment, keeping, prison, observance",5084
"Τιβεριάς, -άδος, ἡ",,Tiberias,Tiberias,5085
"Τιβέριος, -ου, ὁ",,Tiberios,Tiberius,5086
τίθημι,,tithēmi,"place, put",5087
τίκτω,,tiktō,"give birth to, bear, bring forth, produce",5088
τίλλω,,tillō,"pluck, pick, pluck off",5089
"Τιμαῖος, -ου, ὁ",,Timaios,Timaeus,5090
τιμάω,,timaō,"honor, value at a price",5091
"τιμή, -ῆς, ἡ",,timē,"honor, price",5092
"τίμιος, -α, -ον",,timios,"precious, honorable, of great price, honored",5093
"τιμιότης, -ητος, ἡ",,timiotēs,"wealth, prosperity, preciousness, costliness",5094
"Τιμόθεος, -ου, ὁ",,Timotheos,Timothy,5095
"Τίμων, -ωνος, ὁ",,Timōn,Timon,5096
τιμωρέω,,timōreō,punish,5097
"τιμωρία, -ας, ἡ",,timōria,"punishment, penalty",5098
τίνω,,tinō,"pay, pay a penalty",5099
τίς,,tis,"who?, which?, what?, why?",5101
τις,,tis,"one, someone, anyone, a specific person, something, a specific thing",5100
"Τίτιος, -ου, ὁ",,Titios,Titius,
"τίτλος, -ου, ὁ",,titlos,"inscription, notice, title",5102
"Τίτος, -ου, ὁ",,Titos,Titus,5103
τοιγαροῦν,,toigaroun,"consequently, therefore",5105
τοίνυν,,toinun,"accordingly, therefore, hence, indeed now",5106
"τοιόσδε, -άδε, -όνδε",,toiosde,"such as this, of this kind, such",5107
"τοιοῦτος, -αύτη, -οῦτον",,toioutos,"such, of such a kind",5108
"τοῖχος, -ου, ὁ",,toichos,"wall, house wall",5109
"τόκος, -ου, ὁ",,tokos,"interest, usury",5110
τολμάω,,tolmaō,"dare, endure, am bold",5111
τολμηρός,,tolmēros,rather boldly,
τολμηρότερον,,tolmēroteron,more boldly,5112
"τολμητής, -οῦ, ὁ",,tolmētēs,"bold, daring person, daring, presumptuous man",5113
"τομός, -ή, -όν",,tomos,"cutting, sharp",
τομώτερος,,tomōteros,"sharper, keener",5114
"τόξον, -ου, τό",,toxon,bow,5115
"τοπάζιον, -ου, τό",,topazion,topaz,5116
"τόπος, -ου, ὁ",,topos,"place, location",5117
"τοσοῦτος, -αύτη, -οῦτον",,tosoutos,"so great, so much",5118
τότε,,tote,"then, at that time",5119
τοὐναντίον,,tounantion,on the contrary,5121
τοὔνομα,,tounoma,by name,5122
"τράγος, -ου, ὁ",,tragos,male goat,5131
"τράπεζα, -ης, ἡ",,trapeza,"table, surface to place food or other items",5132
"τραπεζίτης, -ου, ὁ",,trapezitēs,"money changer, banker",5133
"τραῦμα, -τος, τό",,trauma,wound,5134
τραυματίζω,,traumatizō,wound,5135
τραχηλίζομαι,,trachēlizomai,lay bear,
τραχηλίζω,,trachēlizō,"am laid bare, laid open",5136
"τράχηλος, -ου, ὁ",,trachēlos,neck,5137
"τραχύς, -εῖα, -ύ",,trachus,"rough, uneven",5138
"Τραχωνῖτις, -ιδος, ἡ",,Trachōnitis,Trachonitis,5139
τρεῖς,,treis,"three, 3",5140
τρέμω,,tremō,"tremble, am afraid",5141
τρέφω,,trephō,"make to grow, nourish, feed, rear",5142
τρέχω,,trechō,"run, exercise myself",5143
"τρῆμα, -τος, τό",,trēma,"opening, hole",
τριάκοντα,,triakonta,"thirty, 30",5144
"τριακόσιοι, -αι, -α",,triakosioi,"three hundred, 300",5145
"τρίβολος, -ου, ὁ",,tribolos,"thistle, briar",5146
"τρίβος, -ου, ἡ",,tribos,"beaten track, path, worn path, beaten way",5147
"τριετία, -ας, ἡ",,trietia,"three years, space of three years",5148
τρίζω,,trizō,"gnash, grind, grate",5149
τρίμηνος,,trimēnos,"of three months, lasting three months",5150
τρίς,,tris,"thrice, three times",5151
"τρίστεγον, -ου, τό",,tristegon,"third story, floor",
"τρίστεγος, -ον",,tristegos,"having three stories, third story",5152
"τρισχίλιοι, -αι, -α",,trischilioi,"three thousand, 3000",5153
"τρίτος, -η, -ον",,tritos,third,5154
"τρίχινος, -η, -ον",,trichinos,made of hair,5155
"τρόμος, -ου, ὁ",,tromos,"trembling, quaking",5156
"τροπή, -ῆς, ἡ",,tropē,"turning, change",5157
"τρόπος, -ου, ὁ",,tropos,"manner, way, character",5158
τροποφορέω,,tropophoreō,"bear or put up with another's manners, endure the ways of",5159
"τροφή, -ῆς, ἡ",,trophē,"food, nourishment",5160
"Τρόφιμος, -ου, ὁ",,Trophimos,Trophimus,5161
"τροφός, -οῦ, ἡ",,trophos,"nurse, mother",5162
"τροχιά, -ᾶς, ἡ",,trochia,"wheel-track, path, way, track of a wheel",5163
"τροχίλος, -ου, ὁ",,trochilos,"Egyptian plover, Eurasian wren",
"τροχός, -οῦ, ὁ",,trochos,"wheel, course",5164
"τρύβλιον, -ου, τό",,trublion,"bowl, dish, platter",5165
τρυγάω,,trugaō,"gather in, harvest, gather",5166
"τρυγών, -όνος, ἡ",,trugōn,"small pigeon, turtledove",5167
"τρυμαλιά, -ᾶς, ἡ",,trumalia,"hole, eye of a needle",5168
"τρύπημα, -ατος, τό",,trupēma,"hole, eye of a needle",5169
"Τρύφαινα, -ης, ἡ",,Truphaina,"Tryphena, Tryphaena",5170
τρυφάω,,truphaō,"live for pleasure, revel, carouse, live a luxurious life",5171
"τρυφή, -ῆς, ἡ",,truphē,"reveling, luxury, splendor, effeminate luxury",5172
"Τρυφῶσα, -ης, ἡ",,Truphōsa,Tryphosa,5173
"Τρῳάς, -άδος, ἡ",,Trōas,Troas,5174
"Τρωγύλλιον, -ου, τό",,Trōgullion,Trogyllium,5175
τρώγω,,trōgō,"gnaw, crunch, eat",5176
τυγχάνω,,tugchanō,"obtain, happen, perhaps",5177
τυμπανίζω,,tumpanizō,"torment, torture, break on the wheel",5178
τυπικῶς,,tupikōs,as an example or warning,
"τύπος, -ου, ὁ",,tupos,"mark, example, figure, model, type",5179
τύπτω,,tuptō,"smite, beat, strike, wound, inflict punishment",5180
"τύραννος, -ου, ὁ",,turannos,Tyrannus; tyrant,5181
τυρβάζω,,turbazō,agitate or disturb in mind,5182
"Τύριος, -ου, ὁ",,Turios,"Tyrian, inhabitant of Tyre",5183
"Τύρος, -ου, ἡ",,Turos,Tyre,5184
"τυφλός, -ή, -όν",,tuphlos,blind,5185
τυφλόω,,tuphloō,"blind, make blind",5186
τύφομαι,,tuphomai,"smoke, smolder",
τυφόομαι,,tuphoomai,"be puffed up, conceited",
τυφόω,,tuphoō,"puff up, make haughty",5187
τύφω,,tuphō,raise smoke,5188
"τυφωνικός, -ή, -όν",,tuphōnikos,"like a whirlwind, violent, tempestuous",5189
"Τυχικός, -οῦ, ὁ",,Tuchikos,Tychicus,5190
"ὑακίνθινος, -η, -ον",,uakinthinos,"hyacinth-colored, dark purple",5191
"ὑάκινθος, -ου, ὁ",,uakinthos,"jacinth, hyacinth",5192
"ὑάλινος, -η, -ον",,ualinos,"of glass, glassy, transparent",5193
"ὕαλος, -ου, ἡ",,ualos,"crystal, glass",5194
ὑβρίζω,,ubrizō,"mistreat, insult",5195
"ὕβρις, -εως, ἡ",,ubris,"damage, insult, loss",5196
"ὑβριστής, -οῦ, ὁ",,ubristēs,"violent, insolent, insolent person, insulting person",5197
ὑγιαίνω,,ugiainō,"be in good health, am well",5198
"ὑγιής, -ες",,ugiēs,"whole, healthy, well, sound, wholesome",5199
"ὑγρός, -ά, -όν",,ugros,"moist, green, full of sap",5200
"ὑδρία, -ας, ἡ",,udria,"water pot, jar",5201
ὑδροποτέω,,udropoteō,"drink water, am a water drinker",5202
"ὑδρωπικός, -ή, -όν",,udrōpikos,"suffering from dropsy or edema, afflicted with dropsy",5203
"ὕδωρ, -ος, τό",,udōr,water,5204
"ὑετός, -ου, ὁ",,uetos,rain,5205
"υἱοθεσία, -ας, ἡ",,uiothesia,adoption,5206
"υἱός, -ου, ὁ",,uios,"son, descendent, offspring",5207
"ὕλη, -ης, ἡ",,ulē,"forest, wood, timber, fuel",5208
"Ὑμέναιος, -ου, ὁ",,Umenaios,Hymenaeus,5211
"ὑμέτερος, -α, -ον",,umeteros,your,5212
ὑμνέω,,umneō,"sing to, praise, sing, sing hymns to",5214
"ὕμνος, -ου, ὁ",,umnos,"song of praise, hymn, sacred song",5215
ὑπάγω,,upagō,"depart, go away",5217
"ὑπακοή, -ῆς, ἡ",,upakoē,obedience,5218
ὑπακούω,,upakouō,"obey, listen",5219
"ὕπανδρος, -ον",,upandros,"under or subject to a man, married, subject to a husband",5220
ὑπαντάω,,upantaō,"meet, go to meet",5221
"ὑπάντησις, -εως, ἡ",,upantēsis,"going to meet, meeting",5222
"ὕπαρξις, -εως, ἡ",,uparxis,"existence, subsistence, property, possession, goods, substance",5223
ὑπάρχοντα,,uparchonta,"goods, property",5224
ὑπάρχω,,uparchō,"be, exist, am, am in possession",5225
ὑπείκω,,upeikō,"yield, give way, submit",5226
"ὑπεναντίος, -α, -ον",,upenantios,"opposed, contrary, hostile, opposite to, adverse",5227
ὑπέρ,,uper,"in behalf of {+gen}, above {+acc}",5228
ὑπεραίρομαι,,uperairomai,exalt oneself,
ὑπεραίρω,,uperairō,"raise beyond, uplift",5229
"ὑπέρακμος, -ον",,uperakmos,"past the bloom of youth, of full age",5230
ὑπεράνω,,uperanō,"high above {+gen}, far above",5231
ὑπεραυξάνω,,uperauxanō,"grow abundantly, increase beyond measure, increase exceedingly",5232
ὑπερβαίνω,,uperbainō,"go beyond, trespass, sin against, transgress",5233
ὑπερβαλλόντως,,uperballontōs,"above measure, much more, beyond measure",5234
ὑπερβάλλω,,uperballō,"go beyond, surpass",5235
"ὑπερβολή, -ῆς, ἡ",,uperbolē,"excess, superiority, surpassing greatness, surpassing excellence, exceedingly",5236
ὑπερεῖδον,,upereidon,overlook,5237
ὑπερέκεινα,,uperekeina,beyond,5238
ὑπερεκπερισσοῦ,,uperekperissou,exceeding abundantly,
ὑπερεκτείνω,,uperekteinō,"stretch out beyond, overextent, over-stretch",5239
ὑπερεκχύννομαι,,uperekchunnomai,"pour out over, overflow",
ὑπερεκχύνω,,uperekchunō,pour out so that it overflows,5240
ὑπερεντυγχάνω,,uperentugchanō,"plead, intercede, intercede for",5241
ὑπερέχω,,uperechō,"rise above, surpass, excel",5242
"ὑπερηφανία, -ας, ἡ",,uperēphania,"arrogance, haughtiness, pride",5243
"ὑπερήφανος, -ον",,uperēphanos,"arrogant, haughty, proud",5244
ὑπερλίαν,,uperlian,"exceedingly, beyond measure, preeminently",
ὑπερνικάω,,upernikaō,"prevail completely, am more than conqueror",5245
"ὑπέρογκος, -ον",,uperogkos,"arrogant, haughty, pompous, immoderate, boastful",5246
ὑπεροράω,,uperoraō,"overlook, disregard, pass over",
"ὑπεροχή, -ῆς, ἡ",,uperochē,"superiority, authority, excellence",5247
ὑπερπερισσεύω,,uperperisseuō,"abound much more, abound exceedingly, overflow",5248
ὑπερπερισσῶς,,uperperissōs,"beyond all measure, utterly, beyond measure",5249
ὑπερπλεονάζω,,uperpleonazō,"abound exceedingly, overflow, am exceedingly abundant",5250
ὑπερυψόω,,uperupsoō,"raise, exalt beyond measure, highly exalt",5251
ὑπερφρονέω,,uperphroneō,"think too highly of oneself, be haughty, have high notions",5252
"ὑπερῷον, -ου, τό",,uperōon,"upper story, room upstairs, upper room",5253
ὑπέχω,,upechō,"undergo punishment, suffer, submit to, undergo",5254
"ὑπήκοος, -ον",,upēkoos,"obedient, listening to",5255
ὑπηρετέω,,upēreteō,"serve, minister to",5256
"ὑπηρέτης, -ου, ὁ",,upēretēs,"servant, assistant, attendant",5257
"ὕπνος, -ου, ὁ",,upnos,sleep,5258
ὑπό,"ὑφ᾽, ὑπ᾽",upo,"by {+gen}, under {+acc}, about",5259
ὑποβάλλω,,upoballō,"instruct privately, secretly instigate or induce",5260
"ὑπογραμμός, -οῦ, ὁ",,upogrammos,"example, writing-copy",5261
"ὑπόδειγμα, -τος, τό",,upodeigma,"copy, example, figure",5262
ὑποδείκνυμι,,upodeiknumi,"show, indicate, point out, show plainly, teach, warn",5263
ὑποδέομαι,,upodeomai,"bind under, put on, wear",
ὑποδέχομαι,,upodechomai,"welcome, receive, entertain as a guest, receive as a guest",5264
ὑποδέω,,upodeō,put on my feet,5265
"ὑπόδημα, -τος, τό",,upodēma,"sandal, shoe",5266
"ὑπόδικος, -ον",,upodikos,"answerable, accountable, answerable to",5267
"ὑποζύγιον, -ου, τό",,upozugion,"donkey, ass, beast of burden, ass or mule",5268
ὑποζώννυμι,,upozōnnumi,"undergird, brace, under-gird",5269
ὑποκάτω,,upokatō,"under, below, down at, underneath",5270
ὑποκρίνομαι,,upokrinomai,"pretend, make believe, act the part",5271
"ὑπόκρισις, -εως, ἡ",,upokrisis,hypocrisy,5272
"ὑποκριτής, -οῦ, ὁ",,upokritēs,"hypocrite, pretender",5273
ὑπολαμβάνω,,upolambanō,"take up, receive, assume, answer, suppose, welcome",5274
"ὑπόλειμμα, -τος, τό",,upoleimma,remnant,
ὑπολείπω,,upoleipō,"leave remaining, leave behind",5275
"ὑπολήνιον, -ου, τό",,upolēnion,"wine trough, vat, pit under the wine-press",5276
ὑπολιμπάνω,,upolimpanō,"leave, leave behind",5277
ὑπομένω,,upomenō,"tarry, endure, remain behind",5278
ὑπομιμνῄσκω,,upomimnēskō,"remind, remember",5279
"ὑπόμνησις, -εως, ἡ",,upomnēsis,"reminding, reminder, remembrance",5280
"ὑπομονή, -ῆς, ἡ",,upomonē,"endurance, perseverance, steadfastness",5281
ὑπονοέω,,uponoeō,"suspect, conjecture, suppose",5282
"ὑπόνοια, -ας, ἡ",,uponoia,"suspicion, conjecture, supposition",5283
ὑποπλέω,,upopleō,"sail under the shelter of, sail under",5284
ὑποπνέω,,upopneō,blow gently,5285
"ὑποπόδιον, -ου, τό",,upopodion,footstool,5286
"ὑπόστασις, -εως, ἡ",,upostasis,"substance, confidence, assurance, reality",5287
ὑποστέλλω,,upostellō,"draw back, withdraw, shrink back, conceal",5288
"ὑποστολή, -ῆς, ἡ",,upostolē,"hesitancy, timidity, shrinking, drawing back",5289
ὑποστρέφω,,upostrephō,"return, turn back",5290
ὑποστρωννύω,,upostrōnnuō,"spread out underneath, spread under",5291
"ὑποταγή, -ῆς, ἡ",,upotagē,"subjection, obedience, submission",5292
ὑποτάσσω,,upotassō,"subject, put in subjection, place under, subject to",5293
ὑποτίθημι,,upotithēmi,"lay down, make known, teach, suggest to",5294
ὑποτρέχω,,upotrechō,"run under the shelter of, run under shelter of",5295
"ὑποτύπωσις, -εως, ἡ",,upotupōsis,"prototype, standard, example, pattern",5296
ὑποφέρω,,upopherō,"endure, bear up under, suffer",5297
ὑποχωρέω,,upochōreō,"withdraw, go away, retire",5298
ὑπωπιάζω,,upōpiazō,"strike in the face, treat roughly, torment, bruise, worry, exhaust",5299
"ὗς, -ὑός, ἡ",,us,"sow, hog, boar, or sow",5300
"ὕσσωπος, -ου, ὁ",,ussōpos,hyssop,5301
ὑστερέω,,ustereō,"lack, need, am lacking, fall short, suffer need",5302
"ὑστέρημα, -τος, τό",,usterēma,"that which is lacking, need, want, poverty",5303
"ὑστέρησις, -εως, ἡ",,usterēsis,"need, want, poverty",5304
ὕστερον,,usteron,"lastly, afterward",5305
"ὕστερος, -α, -ον",,usteros,"later, afterwards",5306
"ὑφαντός, -ή, -όν",,uphantos,woven,5307
"ὑψηλός, -ή, -όν",,upsēlos,"high, lofty",5308
ὑψηλοφρονέω,,upsēlophroneō,"be proud, haughty, conceited, am high-minded, proud",5309
"ὕψιστος, -η, -ον",,upsistos,"highest, most high, heights",5310
"ὕψος, -ους, τό",,upsos,"height, heaven",5311
ὑψόω,,upsoō,"lift up, exalt",5312
"ὕψωμα, -τος, τό",,upsōma,"height, lofty thing, barrier, bulwark",5313
"φάγος, -ου, ὁ",,phagos,glutton,5314
φάγω,,phagō,eat,5315
"φαιλόνης, -ου, ὁ",,phailonēs,cloak,
φαίνω,,phainō,"shine, appear, seem",5316
"Φάλεκ, ὁ",Φάλεγ,Phalek,Peleg,5317
"φανερός, -ά, -όν",,phaneros,"manifest, apparent, clear, visible, clearly",5318
φανερόω,,phaneroō,"reveal, manifest, make manifest, make clear, visible, or manifest",5319
φανερῶς,,phanerōs,"openly, publicly, clearly",5320
"φανέρωσις, -εως, ἡ",,phanerōsis,"disclosure, announcement, manifestation",5321
"φανός, -οῦ, ὁ",,phanos,"lamp, torch, lantern",5322
"Φανουήλ, ὁ",,Phanouēl,Phanuel,5323
φαντάζομαι,,phantazomai,"become visible, appear",
φαντάζω,,phantazō,cause to appear,5324
"φαντασία, -ας, ἡ",,phantasia,"pomp, pageantry, show, display",5325
"φάντασμα, -τος, τό",,phantasma,"apparition, ghost, spirit",5326
"φάραγξ, -αγγος, ἡ",,pharagx,"ravine, chasm, valley",5327
"Φαραώ, ὁ",,Pharaō,Pharaoh,5328
"Φάρες, ὁ",Φαρές,Phares,Perez,5329
"Φαρισαῖος, -ου, ὁ",,Pharisaios,Pharisee,5330
"φαρμακεία, -ας, ἡ",,pharmakeia,"sorcery, magic, enchantment",5331
"φάρμακον, -ου, τό",,pharmakon,"poison, sorcery",
"φάρμακος, -ου, ὁ",,pharmakos,"sorcerer, magician",5333
"φάσις, -εως, ἡ",,phasis,"report, announcement, tidings",5334
φάσκω,,phaskō,"affirm, assert, profess",5335
"φάτνη, -ης, ἡ",,phatnē,"manger, stall, feeding trough",5336
"φαῦλος, -η, -ον",,phaulos,"worthless, bad, wicked, base",5337
"φέγγος, -ους, τό",,pheggos,"light, brightness",5338
φείδομαι,,pheidomai,"spare, abstain",5339
φειδομένως,,pheidomenōs,sparingly,5340
"φελόνης, -ου, ὁ",,phelonēs,"mantle, cloak",5341
φέρω,,pherō,"bring, bear, carry, lead",5342
φεῦ,,pheu,"oh!, alas!",
φεύγω,,pheugō,"flee, escape, shun",5343
"Φῆλιξ, -ικος, ὁ",,Phēlix,Felix,5344
"φήμη, -ης, ἡ",,phēmē,"report, news, fame",5345
φημί,,phēmi,say,5346
"Φῆστος, -ου, ὁ",,Phēstos,Festus,5347
φθάνω,,phthanō,"come before another, anticipate, arrive, precede",5348
"φθαρτός, -ή, -όν",,phthartos,"perishable, corruptible",5349
φθέγγομαι,,phtheggomai,"utter, speak, proclaim, speak aloud",5350
φθείρω,,phtheirō,"destroy, corrupt, spoil",5351
"φθινοπωρινός, -ή, -όν",,phthinopōrinos,"belonging to late autumn, autumnal",5352
"φθόγγος, -ου, ὁ",,phthoggos,"tone, voice, sound",5353
φθονέω,,phthoneō,"envy, be jealous",5354
"φθόνος, -ου, ὁ",,phthonos,"envy, grudge",5355
"φθορά, -ᾶς, ἡ",,phthora,"destruction, corruption, decay",5356
"φιάλη, -ης, ἡ",,phialē,"cup, bowl, shallow and flat bowl",5357
"φιλάγαθος, -ον",,philagathos,loving what is good,5358
"Φιλαδέλφεια, -ας, ἡ",,Philadelpheia,Philadelphia,5359
"φιλαδελφία, -ας, ἡ",,philadelphia,"love of brothers, brotherly love",5360
"φιλάδελφος, -ον",,philadelphos,"having brotherly love, loving the brothers and sisters",5361
"φίλανδρος, -ον",,philandros,"love for a husband, loving one's husband",5362
"φιλανθρωπία, -ας, ἡ",,philanthrōpia,"loving kindness, love for mankind, benevolence",5363
φιλανθρώπως,,philanthrōpōs,"benevolently, kindly, humanely",5364
"φιλαργυρία, -ας, ἡ",,philarguria,"love of money, avarice",5365
"φιλάργυρος, -ον",,philarguros,"fond of money, avaricious, money loving",5366
"φίλαυτος, -ον",,philautos,"loving oneself, selfish",5367
φιλέω,,phileō,"love, kiss",5368
"φιλήδονος, -ον",,philēdonos,"loving pleasure, pleasure loving",5369
"φίλημα, -τος, τό",,philēma,kiss,5370
"Φιλήμων, -ονος, ὁ",,Philēmōn,Philemon,5371
"Φίλητος, -ου, ὁ",,Philētos,Philetus,5372
"φιλία, -ας, ἡ",,philia,"friendship, love",5373
"Φιλιππήσιος, -ου, ὁ",,Philippēsios,Philippian,5374
"Φίλιπποι, -ων, ὁ",,Philippoi,Philippi,5375
"Φίλιππος, -ου, ὁ",,Philippos,Philip,5376
"φιλόθεος, -ον",,philotheos,"God loving, loving God",5377
"Φιλόλογος, -ου, ὁ",,Philologos,Philologus,5378
"φιλονεικία, -ας, ἡ",,philoneikia,"contentiousness, dispute, love of strife, love of dispute, contention",5379
"φιλόνεικος, -ον",,philoneikos,"quarrelsome, contentious, strife-loving",5380
"φιλοξενία, -ας, ἡ",,philoxenia,hospitality,5381
"φιλόξενος, -ον",,philoxenos,hospitable,5382
φιλοπρωτεύω,,philoprōteuō,"wish to be first, desire preeminence",5383
"φίλος, -ου, ὁ",,philos,"loving, friend, friendly",5384
"φιλοσοφία, -ας, ἡ",,philosophia,"philosophy, love of wisdom",5385
"φιλόσοφος, -ου, ὁ",,philosophos,philosopher,5386
"φιλόστοργος, -ον",,philostorgos,"loving dearly, devoted, tenderly loving",5387
"φιλότεκνος, -ον",,philoteknos,loving one's children,5388
φιλοτιμέομαι,,philotimeomai,"have as an ambition, aspire to, desire very strongly",5389
φιλοφρόνως,,philophronōs,"courteously, hospitably, kindly",5390
"φιλόφρων, -ον",,philophrōn,"friendly, kindly",5391
φιμόω,,phimoō,"muzzle, silence, put to silence",5392
φλέγω,,phlegō,"burn, be on fire, be on fire (emotionally)",
"Φλέγων, -οντος, ὁ",,Phlegōn,Phlegon,5393
φλογίζω,,phlogizō,"set on fire, inflame, fire with passion",5394
"φλόξ, -φλογός, ἡ",,phlox,flame,5395
φλυαρέω,,phluareō,"gossip against, talk nonsense about, disparage",5396
"φλύαρος, -ον",,phluaros,"gossipy, talking foolishly, prate",5397
φοβέομαι,φοβέω,phobeomai,"fear, am terrified",5399
"φοβερός, -ά, -όν",,phoberos,"fearful, terrible, dreadful",5398
"φόβητρον, -ου, τό",,phobētron,"terrible sight, horror, cause of terror",5400
"φόβος, -ου, ὁ",,phobos,"fear, terror, reverence",5401
"Φοίβη, -ης, ἡ",,Phoibē,Phoebe,5402
"Φοινίκη, -ης, ἡ",,Phoinikē,Phoenicia,5403
"φοίνιξ, ὁ",,phoinix,"palm tree, palm branch",5404
"φοῖνιξ, ὁ",,phoinix,"palm tree, palm branch, Phoenix",5405
"φονεύς, -έως, ὁ",,phoneus,murderer,5406
φονεύω,,phoneuō,"kill, murder",5407
"φόνος, -ου, ὁ",,phonos,"murder, slaughter",5408
φορέω,,phoreō,"wear, bear, carry",5409
